Keyword,Match Type,Campaign,Ad Group,Notes / Intent
professional plumber san diego,Phrase,Handyman - General (San Diego),Plumbing,Strong trust signal
reliable plumber san diego,Phrase,Handyman - General (San Diego),Plumbing,Quality signal
licensed plumber san diego,Phrase,Handyman - General (San Diego),Plumbing,Trust signal
skilled plumber san diego,Phrase,Handyman - General (San Diego),Plumbing,Quality signal
quality plumber san diego,Phrase,Handyman - General (San Diego),Plumbing,Quality signal
experienced plumber san diego,Phrase,Handyman - General (San Diego),Plumbing,Quality signal
faucet repair san diego,Phrase,Handyman - General (San Diego),Plumbing,High intent
faucet replacement san diego,Phrase,Handyman - General (San Diego),Plumbing,High intent
toilet repair san diego,Phrase,Handyman - General (San Diego),Plumbing,High intent
toilet installation san diego,Phrase,Handyman - General (San Diego),Plumbing,High intent
plumbing repair san diego,Phrase,Handyman - General (San Diego),Plumbing,Good broad term
plumber for faucet repair,Phrase,Handyman - General (San Diego),Plumbing,Problem aware
professional plumber san diego,Exact,Handyman - General (San Diego),Plumbing,Protect top keyword
faucet repair san diego,Exact,Handyman - General (San Diego),Plumbing,Protect high intent
toilet repair san diego,Exact,Handyman - General (San Diego),Plumbing,Protect high intent
